SVM,KNeighborsClassifier,Common_Features,LogisticRegression,DecisionTreeClassifier,XGBoost
SPTA1_Missense_Mutation,TMB,,PRKDC_Missense_Mutation,PDPK1_logCR,PIK3C3_Missense_Mutation
LRP1B_Missense_Mutation,CSF3R_Missense_Mutation,,ERBB4_Missense_Mutation,,KLHL6_logCR
SPEN_Missense_Mutation,MYCN_Missense_Mutation,,FOXP1_Missense_Mutation,,MLLT3_logCR
PAX7_Missense_Mutation,GABRA6_Missense_Mutation,,GABRA6_Missense_Mutation,,ARAF_logCR
NSD1_Missense_Mutation,PIK3CG_Missense_Mutation,,BRAF_Missense_Mutation,,
NOTCH1_Missense_Mutation,FGFR2_Missense_Mutation,,DDR2_Missense_Mutation,,
EP300_Missense_Mutation,WT1_Missense_Mutation,,RNF43_Missense_Mutation,,
IDH1_Missense_Mutation,CBL_Missense_Mutation,,CASP8_Missense_Mutation,,
GNAS_Missense_Mutation,KDM5A_Missense_Mutation,,TOP2A_Missense_Mutation,,
EED_logCR,PIK3C2G_Missense_Mutation,,BMPR1A_logCR,,
FGF7_logCR,GRIN2A_Missense_Mutation,,LMO1_logCR,,
NTRK3_logCR,TP53_Missense_Mutation,,ESR1_logCR,,
NF1_logCR,NF1_Nonsense_Mutation,,SMO_logCR,,
SETD2_logCR,BRCA1_Missense_Mutation,,CRLF2_logCR,,
DHX15_logCR,PAK7_Missense_Mutation,,,,
FBXW7_logCR,ERG_Missense_Mutation,,,,
IRF2_logCR,LZTR1_Missense_Mutation,,,,
IL7R_logCR,IL7R_Missense_Mutation,,,,
RHEB_logCR,RET_Missense_Mutation,,,,
SYK_logCR,MITF_Missense_Mutation,,,,
TSC1_logCR,APC_Missense_Mutation,,,,
CRLF2_logCR,IKZF1_Missense_Mutation,,,,
,GRM3_Missense_Mutation,,,,
,CUX1_Missense_Mutation,,,,
,NOTCH1_Missense_Mutation,,,,
,KMT2A_Missense_Mutation,,,,
,ARID2_Missense_Mutation,,,,
,CDK4_Missense_Mutation,,,,
,LATS2_Missense_Mutation,,,,
,FLT1_Missense_Mutation,,,,
,CD276_Missense_Mutation,,,,
,CREBBP_Missense_Mutation,,,,
,ETV4_Missense_Mutation,,,,
,BCR_Missense_Mutation,,,,
,BCOR_Missense_Mutation,,,,
,ATRX_Missense_Mutation,,,,
,NRAS_Missense_Mutation_hotspot,,,,
,IDH1_Missense_Mutation,,,,
,RUNX1T1_Missense_Mutation,,,,
,GPR124_Missense_Mutation,,,,
,SNCAIP_Missense_Mutation,,,,
,CTNNB1_Missense_Mutation,,,,
,NOTCH4_Missense_Mutation,,,,
,CASP8_Missense_Mutation,,,,
,TP63_Missense_Mutation,,,,
,SLX4_Missense_Mutation,,,,
,PLCG2_Missense_Mutation,,,,
,DICER1_Missense_Mutation,,,,
,GLI1_Missense_Mutation,,,,
,TOP2A_Missense_Mutation,,,,
,PAX7_logCR,,,,
,ARID1A_logCR,,,,
,CDKN2C_logCR,,,,
,HSD3B1_logCR,,,,
,NOTCH2_logCR,,,,
,HIST2H3D_logCR,,,,
,PARP1_logCR,,,,
,FH_logCR,,,,
,AKT3_logCR,,,,
,KIF5B_logCR,,,,
,ARID5B_logCR,,,,
,TET1_logCR,,,,
,PTEN_logCR,,,,
,FGF8_logCR,,,,
,SUFU_logCR,,,,
,SMC3_logCR,,,,
,IGF2_logCR,,,,
,MYOD1_logCR,,,,
,RPS6KA4_logCR,,,,
,FGF19_logCR,,,,
,MRE11A_logCR,,,,
,YAP1_logCR,,,,
,BIRC3_logCR,,,,
,CBL_logCR,,,,
,FLI1_logCR,,,,
,RAD52_logCR,,,,
,FGF6_logCR,,,,
,MDM2_logCR,,,,
,BRCA2_logCR,,,,
,LAMP1_logCR,,,,
,NFKBIA_logCR,,,,
,NKX2.1_logCR,,,,
,AKT1_logCR,,,,
,RAD51_logCR,,,,
,MGA_logCR,,,,
,B2M_logCR,,,,
,IDH2_logCR,,,,
,TSC2_logCR,,,,
,TRAF7_logCR,,,,
,PALB2_logCR,,,,
,MAPK3_logCR,,,,
,CYLD_logCR,,,,
,CBFB_logCR,,,,
,CTCF_logCR,,,,
,CDH1_logCR,,,,
,ZFHX3_logCR,,,,
,PLCG2_logCR,,,,
,FANCA_logCR,,,,
,ALOX12B_logCR,,,,
,AURKB_logCR,,,,
,FLCN_logCR,,,,
,RAD51D_logCR,,,,
,PPM1D_logCR,,,,
,CD79B_logCR,,,,
,SOX9_logCR,,,,
,SRSF2_logCR,,,,
,PIK3C3_logCR,,,,
,SETBP1_logCR,,,,
,STK11_logCR,,,,
,DOT1L_logCR,,,,
,ZBTB7A_logCR,,,,
,PTPRS_logCR,,,,
,SMARCA4_logCR,,,,
,CALR_logCR,,,,
,PIK3R2_logCR,,,,
,CIC_logCR,,,,
,GEN1_logCR,,,,
,MSH2_logCR,,,,
,MSH6_logCR,,,,
,TMEM127_logCR,,,,
,BCL2L11_logCR,,,,
,PAX8_logCR,,,,
,ERCC3_logCR,,,,
,CXCR4_logCR,,,,
,ACVR1_logCR,,,,
,NFE2L2_logCR,,,,
,STAT4_logCR,,,,
,CASP8_logCR,,,,
,ERBB4_logCR,,,,
,BCL2L1_logCR,,,,
,ASXL1_logCR,,,,
,DNMT3B_logCR,,,,
,ZNF217_logCR,,,,
,AURKA_logCR,,,,
,ARFRP1_logCR,,,,
,ERG_logCR,,,,
,CHEK2_logCR,,,,
,NF2_logCR,,,,
,MYD88_logCR,,,,
,CTNNB1_logCR,,,,
,RHOA_logCR,,,,
,MST1_logCR,,,,
,PBRM1_logCR,,,,
,RYBP_logCR,,,,
,SHQ1_logCR,,,,
,GSK3B_logCR,,,,
,EPHB1_logCR,,,,
,PIK3CB_logCR,,,,
,ATR_logCR,,,,
,TERC_logCR,,,,
,MAP3K13_logCR,,,,
,TP63_logCR,,,,
,PDGFRA_logCR,,,,
,KDR_logCR,,,,
,EPHA5_logCR,,,,
,FAM175A_logCR,,,,
,FBXW7_logCR,,,,
,FAT1_logCR,,,,
,TERT_logCR,,,,
,RICTOR_logCR,,,,
,GABRA6_logCR,,,,
,DDX41_logCR,,,,
,HIST1H3D_logCR,,,,
,HIST1H3E_logCR,,,,
,HLA.A_logCR,,,,
,DAXX_logCR,,,,
,FYN_logCR,,,,
,WISP3_logCR,,,,
,ROS1_logCR,,,,
,TNFAIP3_logCR,,,,
,LATS1_logCR,,,,
,ESR1_logCR,,,,
,RAC1_logCR,,,,
,ETV1_logCR,,,,
,EGFR_logCR,,,,
,SMO_logCR,,,,
,GATA4_logCR,,,,
,PPP2R2A_logCR,,,,
,KAT6A_logCR,,,,
,SOX17_logCR,,,,
,TCEB1_logCR,,,,
,RAD21_logCR,,,,
,JAK2_logCR,,,,
,SYK_logCR,,,,
,PPP6C_logCR,,,,
,TSC1_logCR,,,,
,TRAF2_logCR,,,,
,ZRSR2_logCR,,,,
,BCOR_logCR,,,,
,KDM6A_logCR,,,,
,AR_logCR,,,,
,TAF1_logCR,,,,
